time,temperature_2m (°C),relative_humidity_2m (%)
2021-01-01T00:00,13.8,55
2021-01-01T01:00,13.3,61
2021-01-01T02:00,12.4,69
2021-01-01T03:00,12.6,75
2021-01-01T04:00,12.6,76
2021-01-01T05:00,12.1,78
2021-01-01T06:00,11.5,81
2021-01-01T07:00,11.4,81
2021-01-01T08:00,12.8,76
2021-01-01T09:00,14.6,69
2021-01-01T10:00,16.4,61
2021-01-01T11:00,17.8,56
2021-01-01T12:00,18.9,51
2021-01-01T13:00,19.5,49
2021-01-01T14:00,19.9,47
2021-01-01T15:00,19.4,50
2021-01-01T16:00,19.1,51
2021-01-01T17:00,18.5,54
2021-01-01T18:00,17.5,58
2021-01-01T19:00,17.0,60
2021-01-01T20:00,16.2,65
2021-01-01T21:00,15.2,70
2021-01-01T22:00,14.3,76
2021-01-01T23:00,13.9,78
2021-01-02T00:00,13.6,79
2021-01-02T01:00,12.3,85
2021-01-02T02:00,12.0,85
2021-01-02T03:00,12.1,84
2021-01-02T04:00,12.1,84
2021-01-02T05:00,11.9,84
2021-01-02T06:00,11.5,86
2021-01-02T07:00,11.5,87
2021-01-02T08:00,12.1,85
2021-01-02T09:00,13.9,77
2021-01-02T10:00,16.1,68
2021-01-02T11:00,18.0,59
2021-01-02T12:00,19.2,54
2021-01-02T13:00,20.0,50
2021-01-02T14:00,20.5,49
2021-01-02T15:00,20.8,47
2021-01-02T16:00,20.8,48
2021-01-02T17:00,20.1,51
2021-01-02T18:00,19.1,56
2021-01-02T19:00,18.3,60
2021-01-02T20:00,17.2,64
2021-01-02T21:00,16.1,70
2021-01-02T22:00,15.6,70
2021-01-02T23:00,14.7,75
2021-01-03T00:00,14.0,80
2021-01-03T01:00,13.4,85
2021-01-03T02:00,12.7,89
2021-01-03T03:00,11.5,94
2021-01-03T04:00,11.1,95
2021-01-03T05:00,10.4,97
2021-01-03T06:00,10.2,97
2021-01-03T07:00,10.0,98
2021-01-03T08:00,12.1,93
2021-01-03T09:00,14.2,82
2021-01-03T10:00,16.3,72
2021-01-03T11:00,18.0,64
2021-01-03T12:00,19.2,58
2021-01-03T13:00,20.2,53
2021-01-03T14:00,21.2,48
2021-01-03T15:00,21.3,48
2021-01-03T16:00,21.2,48
2021-01-03T17:00,20.5,51
2021-01-03T18:00,19.5,54
2021-01-03T19:00,18.6,58
2021-01-03T20:00,17.9,60
2021-01-03T21:00,17.1,63
2021-01-03T22:00,16.3,66
2021-01-03T23:00,15.6,69
2021-01-04T00:00,14.6,73
2021-01-04T01:00,13.6,77
2021-01-04T02:00,12.9,79
2021-01-04T03:00,12.8,72
2021-01-04T04:00,12.4,71
2021-01-04T05:00,11.9,72
2021-01-04T06:00,11.3,75
2021-01-04T07:00,11.4,73
2021-01-04T08:00,12.9,64
2021-01-04T09:00,14.7,56
2021-01-04T10:00,16.8,50
2021-01-04T11:00,18.1,45
2021-01-04T12:00,19.2,41
2021-01-04T13:00,19.5,43
2021-01-04T14:00,19.5,43
2021-01-04T15:00,19.9,36
2021-01-04T16:00,19.5,36
2021-01-04T17:00,19.1,36
2021-01-04T18:00,18.4,37
2021-01-04T19:00,17.3,41
2021-01-04T20:00,16.1,47
2021-01-04T21:00,15.4,51
2021-01-04T22:00,14.4,58
2021-01-04T23:00,13.8,64
2021-01-05T00:00,13.1,69
2021-01-05T01:00,12.6,72
2021-01-05T02:00,12.4,73
2021-01-05T03:00,12.4,77
2021-01-05T04:00,12.5,77
2021-01-05T05:00,11.9,80
2021-01-05T06:00,11.7,81
2021-01-05T07:00,11.3,83
2021-01-05T08:00,12.8,75
2021-01-05T09:00,14.5,62
2021-01-05T10:00,16.4,50
2021-01-05T11:00,17.9,44
2021-01-05T12:00,19.1,40
2021-01-05T13:00,20.0,37
2021-01-05T14:00,20.6,36
2021-01-05T15:00,20.6,36
2021-01-05T16:00,20.5,36
2021-01-05T17:00,19.7,37
2021-01-05T18:00,18.8,39
2021-01-05T19:00,17.9,42
2021-01-05T20:00,17.0,45
2021-01-05T21:00,16.2,48
2021-01-05T22:00,15.3,51
2021-01-05T23:00,14.2,56
2021-01-06T00:00,13.2,61
2021-01-06T01:00,12.4,64
2021-01-06T02:00,11.7,67
2021-01-06T03:00,11.0,70
2021-01-06T04:00,10.9,70
2021-01-06T05:00,10.3,69
2021-01-06T06:00,9.9,66
2021-01-06T07:00,9.9,64
2021-01-06T08:00,11.9,56
2021-01-06T09:00,14.3,49
2021-01-06T10:00,16.5,44
2021-01-06T11:00,18.1,43
2021-01-06T12:00,19.5,41
2021-01-06T13:00,20.5,39
2021-01-06T14:00,21.1,37
2021-01-06T15:00,21.2,38
2021-01-06T16:00,21.0,38
2021-01-06T17:00,20.3,40
2021-01-06T18:00,19.5,43
2021-01-06T19:00,18.8,44
2021-01-06T20:00,18.1,46
2021-01-06T21:00,17.1,50
2021-01-06T22:00,16.0,53
2021-01-06T23:00,15.0,56
2021-01-07T00:00,13.9,59
2021-01-07T01:00,12.9,62
2021-01-07T02:00,12.1,63
2021-01-07T03:00,12.6,57
