Month,TotalC,Cost
1991-07-01,3526591.0,3.526591
1991-08-01,3180891.0,3.180891
1991-09-01,3252221.0,3.252221
1991-10-01,3611003.0,3.611003
1991-11-01,3565869.0,3.565869
1991-12-01,4306371.0,4.306371
1992-01-01,5088335.0,5.088335
1992-02-01,2814520.0,2.81452
1992-03-01,2985811.0,2.985811
1992-04-01,3204780.0,3.20478
1992-05-01,3127578.0,3.127578
1992-06-01,3270523.0,3.270523
1992-07-01,3737850.82,3.73785082
1992-08-01,3558776.0900000003,3.5587760900000003
1992-09-01,3777201.73,3.77720173
1992-10-01,3924490.42,3.92449042
1992-11-01,4386530.92,4.38653092
1992-12-01,5810549.17,5.81054917
1993-01-01,6192067.6899999995,6.192067689999999
1993-02-01,3450856.9899999998,3.4508569899999997
1993-03-01,3772306.8600000003,3.7723068600000005
1993-04-01,3734302.9,3.7343029
1993-05-01,3905398.92,3.90539892
1993-06-01,4049687.1399999997,4.04968714
1993-07-01,4315565.5200000005,4.315565520000001
1993-08-01,4562184.550000001,4.5621845500000004
1993-09-01,4608662.03,4.6086620300000005
1993-10-01,4667851.29,4.66785129
1993-11-01,5093841.45,5.09384145
1993-12-01,7179962.2,7.1799622
1994-01-01,6731473.08,6.73147308
1994-02-01,3841277.5799999996,3.8412775799999994
1994-03-01,4394075.569999999,4.394075569999999
1994-04-01,4075340.73,4.07534073
1994-05-01,4540644.899999999,4.540644899999999
1994-06-01,4645615.08,4.64561508
1994-07-01,4752606.529999999,4.7526065299999996
1994-08-01,5350604.67,5.35060467
1994-09-01,5204454.84,5.2044548399999995
1994-10-01,5301651.3,5.3016513
1994-11-01,5773742.16,5.77374216
1994-12-01,6204593.48,6.204593480000001
1995-01-01,6749483.819999999,6.749483819999999
1995-02-01,4216067.35,4.216067349999999
1995-03-01,4949349.46,4.94934946
1995-04-01,4823044.9,4.8230449
1995-05-01,5194754.1899999995,5.194754189999999
1995-06-01,5170787.11,5.17078711
1995-07-01,5256741.569999999,5.256741569999999
1995-08-01,5855277.29,5.85527729
1995-09-01,5490729.01,5.49072901
1995-10-01,6115293.23,6.115293230000001
1995-11-01,6088472.84,6.08847284
1995-12-01,7416597.92,7.41659792
1996-01-01,8329452.12,8.329452120000001
1996-02-01,5069795.85,5.069795849999999
1996-03-01,5262556.67,5.2625566699999995
1996-04-01,5597126.28,5.59712628
1996-05-01,6110296.0,6.110296
1996-06-01,5689160.84,5.6891608399999996
1996-07-01,6486849.33,6.48684933
1996-08-01,6300569.329999999,6.300569329999999
1996-09-01,6467475.74,6.46747574
1996-10-01,6828629.390000001,6.828629390000001
1996-11-01,6649078.26,6.64907826
1996-12-01,8606937.21,8.606937210000002
1997-01-01,8524471.01,8.52447101
1997-02-01,5277918.37,5.27791837
1997-03-01,5714303.449999999,5.714303449999999
1997-04-01,6214529.08,6.21452908
1997-05-01,6411929.1899999995,6.4119291899999995
1997-06-01,6667715.64,6.66771564
1997-07-01,7050831.0200000005,7.05083102
1997-08-01,6704918.61,6.70491861
1997-09-01,7250987.609999999,7.250987609999999
1997-10-01,7819733.18,7.81973318
1997-11-01,7398101.06,7.398101059999999
1997-12-01,10096233.39,10.09623339
1998-01-01,8798513.03,8.798513029999999
1998-02-01,5918260.76,5.91826076
1998-03-01,6534492.9799999995,6.53449298
1998-04-01,6675735.61,6.67573561
1998-05-01,7064200.58,7.0642005800000005
1998-06-01,7383381.18,7.38338118
1998-07-01,7813495.87,7.81349587
1998-08-01,7431892.21,7.43189221
1998-09-01,8275117.22,8.27511722
1998-10-01,8260441.38,8.26044138
1998-11-01,8596155.75,8.59615575
1998-12-01,10558939.02,10.55893902
1999-01-01,10391415.6,10.3914156
1999-02-01,6421534.5600000005,6.4215345600000004
1999-03-01,8062619.37,8.06261937
1999-04-01,7297739.100000001,7.2977391
1999-05-01,7936915.94,7.9369159400000004
