Animal,State,Month,Count
Sheep,Victoria,1972-07,757500.0
Sheep,Victoria,1972-08,685300.0
Sheep,Victoria,1972-09,639700.0
Sheep,Victoria,1972-10,876100.0
Sheep,Victoria,1972-11,1047900.0000000001
Sheep,Victoria,1972-12,962900.0
Sheep,Victoria,1973-01,1025099.9999999999
Sheep,Victoria,1973-02,908400.0
Sheep,Victoria,1973-03,919800.0
Sheep,Victoria,1973-04,240300.0
Sheep,Victoria,1973-05,365000.0
Sheep,Victoria,1973-06,184400.0
Sheep,Victoria,1973-07,203700.0
Sheep,Victoria,1973-08,201300.0
Sheep,Victoria,1973-09,230300.0
Sheep,Victoria,1973-10,333900.0
Sheep,Victoria,1973-11,500500.0
Sheep,Victoria,1973-12,384200.0
Sheep,Victoria,1974-01,452500.0
Sheep,Victoria,1974-02,406500.0
Sheep,Victoria,1974-03,356100.0
Sheep,Victoria,1974-04,222900.0
Sheep,Victoria,1974-05,153900.0
Sheep,Victoria,1974-06,141900.0
Sheep,Victoria,1974-07,129699.99999999999
Sheep,Victoria,1974-08,170700.0
Sheep,Victoria,1974-09,257700.0
Sheep,Victoria,1974-10,445600.0
Sheep,Victoria,1974-11,376800.0
Sheep,Victoria,1974-12,418600.0
Sheep,Victoria,1975-01,532600.0
Sheep,Victoria,1975-02,536100.0
Sheep,Victoria,1975-03,529000.0
Sheep,Victoria,1975-04,468200.0
Sheep,Victoria,1975-05,346700.0
Sheep,Victoria,1975-06,283900.0
Sheep,Victoria,1975-07,341100.0
Sheep,Victoria,1975-08,262600.0
Sheep,Victoria,1975-09,364300.0
Sheep,Victoria,1975-10,513700.00000000006
Sheep,Victoria,1975-11,494500.0
Sheep,Victoria,1975-12,534300.0
Sheep,Victoria,1976-01,494000.0
Sheep,Victoria,1976-02,542800.0
Sheep,Victoria,1976-03,579900.0
Sheep,Victoria,1976-04,540100.0
Sheep,Victoria,1976-05,581100.0
Sheep,Victoria,1976-06,428500.0
Sheep,Victoria,1976-07,333800.0
Sheep,Victoria,1976-08,299500.0
Sheep,Victoria,1976-09,413600.0
Sheep,Victoria,1976-10,475600.0
Sheep,Victoria,1976-11,535500.0
Sheep,Victoria,1976-12,560500.0
Sheep,Victoria,1977-01,553200.0
Sheep,Victoria,1977-02,576900.0
Sheep,Victoria,1977-03,394200.0
Sheep,Victoria,1977-04,317700.0
Sheep,Victoria,1977-05,279300.0
Sheep,Victoria,1977-06,182400.0
Sheep,Victoria,1977-07,147100.0
Sheep,Victoria,1977-08,153600.0
Sheep,Victoria,1977-09,284100.0
Sheep,Victoria,1977-10,475400.0
Sheep,Victoria,1977-11,615500.0
Sheep,Victoria,1977-12,558100.0
Sheep,Victoria,1978-01,566100.0
Sheep,Victoria,1978-02,506500.0
Sheep,Victoria,1978-03,388100.0
Sheep,Victoria,1978-04,234200.0
Sheep,Victoria,1978-05,222700.0
Sheep,Victoria,1978-06,95900.0
Sheep,Victoria,1978-07,110900.0
Sheep,Victoria,1978-08,153400.0
Sheep,Victoria,1978-09,252000.0
Sheep,Victoria,1978-10,463600.0
Sheep,Victoria,1978-11,471300.0
Sheep,Victoria,1978-12,380400.0
Sheep,Victoria,1979-01,400000.0
Sheep,Victoria,1979-02,474600.0
Sheep,Victoria,1979-03,381700.0
Sheep,Victoria,1979-04,296100.0
Sheep,Victoria,1979-05,309000.0
Sheep,Victoria,1979-06,185600.0
Sheep,Victoria,1979-07,193200.0
Sheep,Victoria,1979-08,295200.0
Sheep,Victoria,1979-09,328800.0
Sheep,Victoria,1979-10,565000.0
Sheep,Victoria,1979-11,529300.0
Sheep,Victoria,1979-12,516600.0
Sheep,Victoria,1980-01,523200.00000000006
Sheep,Victoria,1980-02,441000.0
Sheep,Victoria,1980-03,208200.0
Sheep,Victoria,1980-04,463800.0
Sheep,Victoria,1980-05,222100.0
Sheep,Victoria,1980-06,100000.0
Sheep,Victoria,1980-07,142500.0
Sheep,Victoria,1980-08,211500.0
Sheep,Victoria,1980-09,392400.0
Sheep,Victoria,1980-10,710000.0
Sheep,Victoria,1980-11,546800.0
Sheep,Victoria,1980-12,660200.0
Sheep,Victoria,1981-01,680100.0
Sheep,Victoria,1981-02,661000.0
Sheep,Victoria,1981-03,454300.0
Sheep,Victoria,1981-04,320100.0
Sheep,Victoria,1981-05,245600.0
Sheep,Victoria,1981-06,98900.0
Sheep,Victoria,1981-07,76100.0
Sheep,Victoria,1981-08,75600.0
Sheep,Victoria,1981-09,186600.0
Sheep,Victoria,1981-10,452600.0
Sheep,Victoria,1981-11,390600.0
Sheep,Victoria,1981-12,539800.0
Sheep,Victoria,1982-01,604200.0
Sheep,Victoria,1982-02,572100.0
Sheep,Victoria,1982-03,442100.0
Sheep,Victoria,1982-04,294800.0
Sheep,Victoria,1982-05,201100.0
Sheep,Victoria,1982-06,169700.0
Sheep,Victoria,1982-07,135500.0
Sheep,Victoria,1982-08,177800.0
Sheep,Victoria,1982-09,425100.0
