Quarter,Beer,Tobacco,Bricks,Cement,Electricity,Gas
1956Q1,284.0,5225.0,189.0,465.0,3923.0,5.0
1956Q2,213.0,5178.0,204.0,532.0,4436.0,6.0
1956Q3,227.0,5297.0,208.0,561.0,4806.0,7.0
1956Q4,308.0,5681.0,197.0,570.0,4418.0,6.0
1957Q1,262.0,5577.0,187.0,529.0,4339.0,5.0
1957Q2,228.0,5651.0,214.0,604.0,4811.0,7.0
1957Q3,236.0,5317.0,227.0,603.0,5259.0,7.0
1957Q4,320.0,6152.0,222.0,582.0,4735.0,6.0
1958Q1,272.0,5758.0,199.0,554.0,4608.0,5.0
1958Q2,233.0,5641.0,229.0,620.0,5196.0,7.0
1958Q3,237.0,5802.0,249.0,646.0,5609.0,8.0
1958Q4,313.0,6265.0,234.0,637.0,4977.0,6.0
1959Q1,261.0,5478.0,208.0,573.0,4883.0,5.0
1959Q2,227.0,5892.0,251.0,673.0,5744.0,7.0
1959Q3,250.0,5952.0,267.0,690.0,6035.0,8.0
1959Q4,314.0,6597.0,255.0,681.0,5514.0,6.0
1960Q1,286.0,5980.0,242.0,621.0,5387.0,6.0
1960Q2,227.0,6154.0,268.0,698.0,6211.0,8.0
1960Q3,260.0,5478.0,290.0,753.0,6659.0,8.0
1960Q4,311.0,6716.0,277.0,728.0,5983.0,7.0
1961Q1,295.0,6022.0,241.0,688.0,5709.0,6.0
1961Q2,233.0,6070.0,253.0,737.0,6458.0,7.0
1961Q3,257.0,6303.0,265.0,742.0,6875.0,8.0
1961Q4,339.0,6693.0,236.0,692.0,6162.0,6.0
1962Q1,279.0,6072.0,229.0,637.0,6098.0,6.0
1962Q2,250.0,6112.0,265.0,757.0,7075.0,8.0
1962Q3,270.0,6146.0,275.0,783.0,7595.0,8.0
1962Q4,346.0,6787.0,258.0,757.0,6891.0,7.0
1963Q1,294.0,6051.0,231.0,674.0,6707.0,6.0
1963Q2,255.0,6259.0,263.0,774.0,7874.0,8.0
1963Q3,278.0,6348.0,308.0,835.0,8555.0,9.0
1963Q4,363.0,6883.0,313.0,838.0,7503.0,7.0
1964Q1,313.0,5890.0,293.0,797.0,7469.0,6.0
1964Q2,273.0,6365.0,328.0,904.0,8829.0,8.0
1964Q3,300.0,7373.0,349.0,949.0,9513.0,9.0
1964Q4,370.0,6768.0,340.0,975.0,8415.0,7.0
1965Q1,331.0,6201.0,309.0,902.0,8170.0,6.0
1965Q2,288.0,6332.0,349.0,974.0,9503.0,8.0
1965Q3,306.0,7213.0,366.0,969.0,10306.0,9.0
1965Q4,386.0,6600.0,340.0,967.0,9077.0,7.0
1966Q1,335.0,5522.0,302.0,849.0,8650.0,6.0
1966Q2,288.0,6184.0,350.0,961.0,10180.0,8.0
