State,Industry,Month,index,Series ID,Turnover
Australian Capital Territory,Newspaper and book retailing,1982-04,5293,A3349773T,2.3
Australian Capital Territory,Newspaper and book retailing,1982-05,5294,A3349773T,2.5
Australian Capital Territory,Newspaper and book retailing,1982-06,5295,A3349773T,2.3
Australian Capital Territory,Newspaper and book retailing,1982-07,5296,A3349773T,2.6
Australian Capital Territory,Newspaper and book retailing,1982-08,5297,A3349773T,2.6
Australian Capital Territory,Newspaper and book retailing,1982-09,5298,A3349773T,2.6
Australian Capital Territory,Newspaper and book retailing,1982-10,5299,A3349773T,2.7
Australian Capital Territory,Newspaper and book retailing,1982-11,5300,A3349773T,3.0
Australian Capital Territory,Newspaper and book retailing,1982-12,5301,A3349773T,4.9
Australian Capital Territory,Newspaper and book retailing,1983-01,5302,A3349773T,2.5
Australian Capital Territory,Newspaper and book retailing,1983-02,5303,A3349773T,3.0
Australian Capital Territory,Newspaper and book retailing,1983-03,5304,A3349773T,3.1
Australian Capital Territory,Newspaper and book retailing,1983-04,5305,A3349773T,2.6
Australian Capital Territory,Newspaper and book retailing,1983-05,5306,A3349773T,2.8
Australian Capital Territory,Newspaper and book retailing,1983-06,5307,A3349773T,2.8
Australian Capital Territory,Newspaper and book retailing,1983-07,5308,A3349773T,3.0
Australian Capital Territory,Newspaper and book retailing,1983-08,5309,A3349773T,3.2
Australian Capital Territory,Newspaper and book retailing,1983-09,5310,A3349773T,3.2
Australian Capital Territory,Newspaper and book retailing,1983-10,5311,A3349773T,3.1
Australian Capital Territory,Newspaper and book retailing,1983-11,5312,A3349773T,3.3
Australian Capital Territory,Newspaper and book retailing,1983-12,5313,A3349773T,4.9
Australian Capital Territory,Newspaper and book retailing,1984-01,5314,A3349773T,2.8
Australian Capital Territory,Newspaper and book retailing,1984-02,5315,A3349773T,2.9
Australian Capital Territory,Newspaper and book retailing,1984-03,5316,A3349773T,3.1
Australian Capital Territory,Newspaper and book retailing,1984-04,5317,A3349773T,2.9
Australian Capital Territory,Newspaper and book retailing,1984-05,5318,A3349773T,3.1
Australian Capital Territory,Newspaper and book retailing,1984-06,5319,A3349773T,2.8
Australian Capital Territory,Newspaper and book retailing,1984-07,5320,A3349773T,2.9
Australian Capital Territory,Newspaper and book retailing,1984-08,5321,A3349773T,3.0
Australian Capital Territory,Newspaper and book retailing,1984-09,5322,A3349773T,3.0
Australian Capital Territory,Newspaper and book retailing,1984-10,5323,A3349773T,2.7
Australian Capital Territory,Newspaper and book retailing,1984-11,5324,A3349773T,3.2
Australian Capital Territory,Newspaper and book retailing,1984-12,5325,A3349773T,4.0
Australian Capital Territory,Newspaper and book retailing,1985-01,5326,A3349773T,2.4
Australian Capital Territory,Newspaper and book retailing,1985-02,5327,A3349773T,2.4
Australian Capital Territory,Newspaper and book retailing,1985-03,5328,A3349773T,2.8
Australian Capital Territory,Newspaper and book retailing,1985-04,5329,A3349773T,2.3
Australian Capital Territory,Newspaper and book retailing,1985-05,5330,A3349773T,2.7
Australian Capital Territory,Newspaper and book retailing,1985-06,5331,A3349773T,2.4
