date,sales,marketing_spend,avg_price
2018-01-01,227.76,41.22,26.13
2018-02-01,230.21,39.84,26.92
2018-03-01,251.9,49.93,27.35
2018-04-01,245.73,51.76,28.34
2018-05-01,202.57,39.12,28.66
2018-06-01,175.25,38.79,29.46
2018-07-01,164.51,40.51,29.87
2018-08-01,139.77,34.74,29.32
2018-09-01,136.48,33.0,29.09
2018-10-01,151.75,28.59,27.92
2018-11-01,198.45,36.59,27.3
2018-12-01,240.67,39.11,26.77
2019-01-01,246.58,40.26,26.26
2019-02-01,279.24,48.51,27.16
2019-03-01,264.05,48.8,27.34
2019-04-01,231.73,44.56,28.3
2019-05-01,224.59,48.4,29.26
2019-06-01,185.2,40.16,29.82
2019-07-01,204.71,43.51,30.13
2019-08-01,157.73,35.8,29.64
2019-09-01,169.5,32.33,28.98
2019-10-01,163.09,29.28,28.39
2019-11-01,225.59,37.96,27.02
2019-12-01,234.21,35.38,26.58
2020-01-01,252.48,38.29,26.45
2020-02-01,270.12,42.59,26.8
2020-03-01,275.88,49.06,27.93
2020-04-01,273.34,49.46,28.18
2020-05-01,243.93,48.58,29.16
2020-06-01,209.12,45.72,30.4
2020-07-01,206.6,48.57,29.96
2020-08-01,174.08,34.37,30.21
2020-09-01,186.03,31.02,29.02
2020-10-01,183.84,28.74,28.58
2020-11-01,222.93,35.54,27.55
2020-12-01,259.8,40.52,27.27
2021-01-01,278.24,39.54,27.56
2021-02-01,281.32,40.64,26.75
2021-03-01,276.15,43.63,28.18
2021-04-01,293.77,50.6,28.88
2021-05-01,268.56,49.9,29.31
2021-06-01,249.88,46.17,29.54
2021-07-01,199.81,37.34,30.37
2021-08-01,185.39,36.93,29.95
2021-09-01,181.42,33.54,29.72
2021-10-01,220.58,32.87,28.91
2021-11-01,250.51,36.56,28.81
2021-12-01,259.36,36.89,27.55
2022-01-01,289.77,42.72,27.05
2022-02-01,312.31,44.27,27.75
2022-03-01,296.91,48.08,28.34
2022-04-01,289.54,50.53,29.56
2022-05-01,257.19,41.1,30.12
2022-06-01,235.81,42.72,30.5
2022-07-01,212.1,38.12,31.17
2022-08-01,198.6,33.44,29.92
2022-09-01,205.46,31.97,29.61
2022-10-01,247.81,37.98,28.77
2022-11-01,234.34,29.61,28.25
2022-12-01,289.44,39.87,27.33
2023-01-01,261.22,33.27,27.95
2023-02-01,309.85,42.66,27.83
2023-03-01,313.53,47.58,27.9
2023-04-01,303.33,50.34,28.85
2023-05-01,283.6,49.77,30.16
2023-06-01,261.64,47.17,30.93
2023-07-01,233.65,38.61,31.62
2023-08-01,199.09,34.15,31.8
2023-09-01,227.78,36.5,30.28
2023-10-01,227.44,31.23,28.98
2023-11-01,242.4,27.97,27.8
2023-12-01,280.03,31.47,28.23
