SMI,Date
1678.1,1991-01-02
1688.5,1991-01-03
1678.6,1991-01-04
1684.1,1991-01-07
1686.6,1991-01-08
1671.6,1991-01-09
1682.9,1991-01-10
1703.6,1991-01-11
1697.5,1991-01-14
1716.3,1991-01-15
1723.8,1991-01-16
1730.5,1991-01-17
1727.4,1991-01-18
1733.3,1991-01-21
1734.0,1991-01-22
1728.3,1991-01-23
1737.1,1991-01-24
1723.1,1991-01-25
1723.6,1991-01-28
1719.0,1991-01-29
1721.2,1991-01-30
1725.3,1991-01-31
1727.2,1991-02-01
1727.2,1991-02-04
1731.6,1991-02-05
1724.1,1991-02-06
1716.9,1991-02-07
1723.4,1991-02-08
1723.0,1991-02-11
1728.4,1991-02-12
1722.1,1991-02-13
1724.5,1991-02-14
1733.6,1991-02-15
1739.0,1991-02-18
1726.2,1991-02-19
1587.4,1991-02-20
1630.6,1991-02-21
1685.5,1991-02-22
1701.3,1991-02-25
1718.0,1991-02-26
1726.2,1991-02-27
1716.6,1991-02-28
1725.8,1991-03-01
1737.4,1991-03-04
1736.6,1991-03-05
1732.4,1991-03-06
1731.2,1991-03-07
1726.9,1991-03-08
1727.8,1991-03-11
1720.2,1991-03-12
1715.4,1991-03-13
1708.7,1991-03-14
1713.0,1991-03-15
1713.5,1991-03-18
1718.0,1991-03-19
1701.7,1991-03-20
1701.7,1991-03-21
1684.9,1991-03-22
1687.2,1991-03-25
1690.6,1991-03-26
1684.3,1991-03-27
1679.9,1991-03-28
1672.9,1991-03-29
1663.1,1991-04-01
1669.3,1991-04-02
1664.7,1991-04-03
1672.3,1991-04-04
1687.7,1991-04-05
1686.8,1991-04-08
1686.6,1991-04-09
1675.8,1991-04-10
1677.4,1991-04-11
1673.2,1991-04-12
1665.0,1991-04-15
1671.3,1991-04-16
1672.4,1991-04-17
1676.2,1991-04-18
1692.6,1991-04-19
1696.5,1991-04-22
1716.1,1991-04-23
1713.3,1991-04-24
1705.1,1991-04-25
1711.3,1991-04-26
1709.8,1991-04-29
1688.6,1991-04-30
1698.9,1991-05-01
1700.0,1991-05-02
1693.0,1991-05-03
1683.9,1991-05-06
1679.2,1991-05-07
1673.9,1991-05-08
1683.9,1991-05-09
1688.4,1991-05-10
1693.9,1991-05-13
1720.9,1991-05-14
1717.9,1991-05-15
1733.6,1991-05-16
1729.7,1991-05-17
1735.6,1991-05-20
1734.1,1991-05-21
1699.3,1991-05-22
1678.6,1991-05-23
1675.5,1991-05-24
1670.1,1991-05-27
1652.2,1991-05-28
1635.0,1991-05-29
1654.9,1991-05-30
1642.0,1991-05-31
1638.7,1991-06-03
1622.6,1991-06-04
1596.1,1991-06-05
1612.4,1991-06-06
1625.0,1991-06-07
1610.5,1991-06-10
1606.6,1991-06-11
1610.7,1991-06-12
1603.1,1991-06-13
1591.5,1991-06-14
1605.2,1991-06-17
1621.4,1991-06-18
1622.5,1991-06-19
1626.6,1991-06-20
1627.4,1991-06-21
1614.9,1991-06-24
1602.3,1991-06-25
1598.3,1991-06-26
1627.0,1991-06-27
1627.0,1991-06-28
1627.0,1991-07-01
1655.7,1991-07-02
1670.1,1991-07-03
1670.1,1991-07-04
1670.1,1991-07-05
1670.1,1991-07-08
1704.0,1991-07-09
1711.8,1991-07-10
1700.5,1991-07-11
1690.3,1991-07-12
1715.4,1991-07-15
1723.5,1991-07-16
1719.4,1991-07-17
1734.4,1991-07-18
1772.8,1991-07-19
1760.3,1991-07-22
1747.2,1991-07-23
1750.2,1991-07-24
1755.3,1991-07-25
1754.6,1991-07-26
1751.2,1991-07-29
1752.5,1991-07-30
1769.4,1991-07-31
1767.6,1991-08-01
1750.0,1991-08-02
1747.1,1991-08-05
1753.5,1991-08-06
1752.8,1991-08-07
1752.9,1991-08-08
1764.7,1991-08-09
1776.8,1991-08-12
1779.3,1991-08-13
1785.1,1991-08-14
1798.2,1991-08-15
1794.1,1991-08-16
1795.2,1991-08-19
1780.4,1991-08-20
1789.5,1991-08-21
1794.2,1991-08-22
1784.4,1991-08-23
1800.1,1991-08-26
1804.0,1991-08-27
1816.2,1991-08-28
1810.5,1991-08-29
1821.9,1991-08-30
1828.2,1991-09-02
1840.6,1991-09-03
1841.1,1991-09-04
1846.3,1991-09-05
1850.0,1991-09-06
1839.0,1991-09-09
1820.2,1991-09-10
1815.2,1991-09-11
1820.6,1991-09-12
1807.1,1991-09-13
1791.4,1991-09-16
1806.2,1991-09-17
1798.7,1991-09-18
1818.2,1991-09-19
1820.5,1991-09-20
1833.3,1991-09-23
1837.1,1991-09-24
1818.2,1991-09-25
1824.1,1991-09-26
1830.1,1991-09-27
1835.6,1991-09-30
1828.7,1991-10-01
1839.2,1991-10-02
1837.2,1991-10-03
1826.7,1991-10-04
1838.0,1991-10-07
1829.1,1991-10-08
1843.1,1991-10-09
1850.5,1991-10-10
1827.1,1991-10-11
1829.1,1991-10-14
1848.0,1991-10-15
1840.5,1991-10-16
1853.8,1991-10-17
1874.1,1991-10-18
1871.3,1991-10-21
1871.3,1991-10-22
1871.3,1991-10-23
1860.5,1991-10-24
1874.7,1991-10-25
1880.1,1991-10-28
1874.7,1991-10-29
1875.6,1991-10-30
1859.5,1991-10-31
