State,Quarter,Trips
ACT,1998Q1,196.2185505
ACT,1998Q2,126.7705973
ACT,1998Q3,110.6796454
ACT,1998Q4,170.4722058
ACT,1999Q1,107.7792452
ACT,1999Q2,124.6442031
ACT,1999Q3,177.9468698
ACT,1999Q4,217.6562481
ACT,2000Q1,158.4145809
ACT,2000Q2,154.8064808
ACT,2000Q3,110.7790049
ACT,2000Q4,157.8623391
ACT,2001Q1,143.6435129
ACT,2001Q2,249.9085001
ACT,2001Q3,132.4823603
ACT,2001Q4,183.9750371
ACT,2002Q1,164.1536101
ACT,2002Q2,185.144259
ACT,2002Q3,113.2755677
ACT,2002Q4,140.1915353
ACT,2003Q1,111.4751914
ACT,2003Q2,156.3437888
ACT,2003Q3,140.4969378
ACT,2003Q4,144.4553491
ACT,2004Q1,114.0701235
ACT,2004Q2,136.9660938
ACT,2004Q3,129.6151561
ACT,2004Q4,113.0255894
ACT,2005Q1,121.8510901
ACT,2005Q2,134.5084186
ACT,2005Q3,154.6502579
ACT,2005Q4,92.497783
ACT,2006Q1,149.554375
ACT,2006Q2,133.051428
ACT,2006Q3,132.549314
ACT,2006Q4,111.296543
ACT,2007Q1,145.5622689
ACT,2007Q2,115.5508329
ACT,2007Q3,119.7396275
ACT,2007Q4,101.5596327
ACT,2008Q1,152.473165
ACT,2008Q2,140.3483478
ACT,2008Q3,141.3639443
ACT,2008Q4,119.8263545
ACT,2009Q1,184.7659711
ACT,2009Q2,125.3440577
ACT,2009Q3,116.4592213
ACT,2009Q4,101.1894017
ACT,2010Q1,299.8312818
ACT,2010Q2,204.1642676
ACT,2010Q3,132.4496342
ACT,2010Q4,132.9459374
ACT,2011Q1,121.1236727
ACT,2011Q2,111.1584584
ACT,2011Q3,161.3472175
ACT,2011Q4,126.1196456
ACT,2012Q1,141.2563594
ACT,2012Q2,108.5218403
ACT,2012Q3,130.2682416
ACT,2012Q4,82.3934331
ACT,2013Q1,215.9476834
ACT,2013Q2,119.73916
ACT,2013Q3,180.5453191
ACT,2013Q4,125.8092609
ACT,2014Q1,189.3877031
ACT,2014Q2,149.8130108
ACT,2014Q3,193.1935368
ACT,2014Q4,135.2556246
ACT,2015Q1,247.3158288
ACT,2015Q2,142.9431516
ACT,2015Q3,174.9480088
ACT,2015Q4,125.5230547
ACT,2016Q1,162.597761
ACT,2016Q2,199.5219014
ACT,2016Q3,159.1349489
ACT,2016Q4,214.1112851
ACT,2017Q1,223.1334399
ACT,2017Q2,193.4863015
ACT,2017Q3,203.6345036
ACT,2017Q4,214.4636548
New South Wales,1998Q1,4032.9098334
New South Wales,1998Q2,3262.2327455
New South Wales,1998Q3,2680.5823603
New South Wales,1998Q4,3082.6770441999997
New South Wales,1999Q1,3634.931012
New South Wales,1999Q2,2957.5110726000003
New South Wales,1999Q3,2767.7519199
New South Wales,1999Q4,3120.7914895
New South Wales,2000Q1,3548.4898453
New South Wales,2000Q2,2839.5067376
New South Wales,2000Q3,3265.2395253
New South Wales,2000Q4,2945.6789651
New South Wales,2001Q1,3453.6257708000003
New South Wales,2001Q2,2922.7161661
New South Wales,2001Q3,2730.7678515
New South Wales,2001Q4,2895.9307332
New South Wales,2002Q1,3422.1024638
New South Wales,2002Q2,3075.4836123
New South Wales,2002Q3,2782.5887654
New South Wales,2002Q4,3160.2839179000002
New South Wales,2003Q1,3442.1605608
New South Wales,2003Q2,2871.0988907
New South Wales,2003Q3,2805.9219685
New South Wales,2003Q4,2836.5793105000002
New South Wales,2004Q1,3434.5104626
New South Wales,2004Q2,2919.6804122
New South Wales,2004Q3,2670.6100029
New South Wales,2004Q4,2618.2191579
New South Wales,2005Q1,3592.7347447
New South Wales,2005Q2,2513.6788124
New South Wales,2005Q3,2418.3010311
New South Wales,2005Q4,2412.1381707
New South Wales,2006Q1,3438.231674
New South Wales,2006Q2,2758.213502
New South Wales,2006Q3,2367.06977
New South Wales,2006Q4,2795.259446
New South Wales,2007Q1,3394.8425549
New South Wales,2007Q2,2777.937878
New South Wales,2007Q3,2510.8281116
New South Wales,2007Q4,2591.909166
New South Wales,2008Q1,3654.8288085
New South Wales,2008Q2,2749.2014513
New South Wales,2008Q3,2557.8808672
New South Wales,2008Q4,2656.8722112
New South Wales,2009Q1,3241.1865325999997
New South Wales,2009Q2,2470.0011393
New South Wales,2009Q3,2585.2919547
New South Wales,2009Q4,2736.4102652
New South Wales,2010Q1,3424.6774703
New South Wales,2010Q2,2710.4564747
New South Wales,2010Q3,2699.6993338
New South Wales,2010Q4,2659.1425437
New South Wales,2011Q1,3444.6901323
New South Wales,2011Q2,2821.0636668
New South Wales,2011Q3,2548.5966074999997
New South Wales,2011Q4,2447.1035219
New South Wales,2012Q1,3264.0069232
New South Wales,2012Q2,2604.0550896
New South Wales,2012Q3,2550.4360682
New South Wales,2012Q4,2890.1493998
New South Wales,2013Q1,3350.0201466999997
New South Wales,2013Q2,2827.7710606
New South Wales,2013Q3,2861.9834562
New South Wales,2013Q4,2744.7250848
New South Wales,2014Q1,3275.2985792
New South Wales,2014Q2,2910.3491976
New South Wales,2014Q3,2756.7284013999997
New South Wales,2014Q4,2911.4911569
New South Wales,2015Q1,3447.3799609000002
New South Wales,2015Q2,2973.104968
New South Wales,2015Q3,2752.8881334
New South Wales,2015Q4,3099.0272528
New South Wales,2016Q1,3897.8744008999997
New South Wales,2016Q2,3024.8531484
New South Wales,2016Q3,2934.7823989000003
New South Wales,2016Q4,3094.0979586
New South Wales,2017Q1,3547.3939932999997
New South Wales,2017Q2,3165.8526355
New South Wales,2017Q3,3368.8540549
New South Wales,2017Q4,3329.0767958
Northern Territory,1998Q1,59.810032899999996
Northern Territory,1998Q2,163.0125514
Northern Territory,1998Q3,360.3763628
Northern Territory,1998Q4,114.407975
Northern Territory,1999Q1,56.2431003
Northern Territory,1999Q2,222.2856858
Northern Territory,1999Q3,341.123315
Northern Territory,1999Q4,130.85092219999999
Northern Territory,2000Q1,127.5470595
Northern Territory,2000Q2,203.6390719
Northern Territory,2000Q3,335.79174489999997
Northern Territory,2000Q4,173.1207393
Northern Territory,2001Q1,59.832636
Northern Territory,2001Q2,211.8269475
Northern Territory,2001Q3,322.5902749
Northern Territory,2001Q4,97.1853121
Northern Territory,2002Q1,63.1128944
Northern Territory,2002Q2,208.8452717
Northern Territory,2002Q3,259.3378307
Northern Territory,2002Q4,148.464428
Northern Territory,2003Q1,85.3104585
Northern Territory,2003Q2,156.4860076
Northern Territory,2003Q3,305.1181136
Northern Territory,2003Q4,111.22360950000001
Northern Territory,2004Q1,58.2745197
Northern Territory,2004Q2,166.74378480000001
Northern Territory,2004Q3,446.9306963
Northern Territory,2004Q4,79.8440387
Northern Territory,2005Q1,83.1751146
Northern Territory,2005Q2,230.0347576
Northern Territory,2005Q3,324.267736
Northern Territory,2005Q4,117.1128723
Northern Territory,2006Q1,92.864477
Northern Territory,2006Q2,188.919484
Northern Territory,2006Q3,296.089751
Northern Territory,2006Q4,138.251003
Northern Territory,2007Q1,75.4345171
Northern Territory,2007Q2,249.8630517
Northern Territory,2007Q3,366.03427380000005
Northern Territory,2007Q4,163.5548629
Northern Territory,2008Q1,110.5621062
Northern Territory,2008Q2,188.1280478
Northern Territory,2008Q3,302.678756
Northern Territory,2008Q4,136.125218
Northern Territory,2009Q1,72.1869901
Northern Territory,2009Q2,248.588841
Northern Territory,2009Q3,294.3957742
Northern Territory,2009Q4,141.2377928
Northern Territory,2010Q1,74.87279
Northern Territory,2010Q2,258.9020847
Northern Territory,2010Q3,292.8476577
Northern Territory,2010Q4,164.4034805
Northern Territory,2011Q1,64.7786521
Northern Territory,2011Q2,152.4190846
Northern Territory,2011Q3,276.3887277
Northern Territory,2011Q4,128.8758811
Northern Territory,2012Q1,69.1891298
Northern Territory,2012Q2,164.1966675
Northern Territory,2012Q3,295.4271814
Northern Territory,2012Q4,99.12312250000001
Northern Territory,2013Q1,57.4427009
Northern Territory,2013Q2,178.57255709999998
Northern Territory,2013Q3,256.70881710000003
Northern Territory,2013Q4,102.2554141
